Install Date,Unit Number,Marina Name,Seabin Address,City,State,Seabin Country,Latitude N/S,Longitude E/W
,1,Mandurah Marina,"Mandurah Marina, 1 Dolphin Dr, Mandurah WA 6210, Australia",Mandurah,WA,Australia,-32.523301,115.715725
,1,Port Coogee Marina,"Maraboo Loop, North Coogee WA 6163, Australia",North Coogee,WA,Australia,-32.100182,115.759385
,1,Ballina Marina,"Boatharbour Rd, Ballina, NSW, 2478",Ballina,NSW,Australia,-28.867716,153.544572
,1,Mike Little,"Cullen Bay, Larrakeyah NT 0820, Australia",Darwin,NT,Australia,-12.454066,130.823551
,1,Shore Water Marine Pty Ltd,"Mullaloo, Western Australia, Australia",Mullaloo,WA,Australia,-31.786202,115.72902
,1,Mindarie Marina,"33 Ocean Falls Boulevard, Mindarie, Western Australia",Mindarie,WA,Australia,-31.691144,115.702007
,1,Butterfield Group (Bermuda),"31-43 Reid Street, Hamilton, Bermuda",Hamilton,Hamilton,Bermuda,32.293069,-64.783695
19/8/2020,1,Credit Village Marina,12 Stavebank Rd. South,Mississauga,Ontario,Canada,43.550823,-79.584392
1/8/2020,1,Marina Port de Qu�bec,"155 Rue Abraham Martin, Qu�bec, QC G1K 8N1155 Rue Abraham Martin, Qu�bec, QC G1K 8N1",Ville de Quebec,Quebec,Canada,46.819893,-71.207103
17/8/2019,1,Oak Bay Marina,"Oak Bay, British Columbia, Canada",Oak Bay,British Columbia,Canada,48.424412,-123.30253
1/8/2019,1,North Saanich Marina,"North Saanich, British Columbia, Canada",North Saanich,British Columbia,Canada,48.676716,-123.41544
1/5/2019,1,Crate Marine Belleville,25 Dundas St West,Belleville,Ontario,Canada,44.158856,-77.386051
12/7/1905,1,Nepean Sailing Club,"3259 Carling Ave, K2H 1A6",Nepean,Ontario,Canada,45.3514,-75.8261
,1,Outer Harbour Marina Toronto,"1 475 Unwin Ave, Toronto, ON M4M 3M2, Canada",Toronto,Ontario,Canada,43.644382,-79.324284
,2,Outer Harbour Marina Toronto,"2 475 Unwin Ave, Toronto, ON M4M 3M2, Canada",Toronto,Ontario,Canada,43.64341,-79.324596
,3,Outer Harbour Marina Toronto,"3 475 Unwin Ave, Toronto, ON M4M 3M2, Canada",Toronto,Ontario,Canada,43.640814,-79.326165
,1,Pedder Bay Marina,"Metchosin, British Columbia, Canada",Metchosin,British Columbia,Canada,48.347652,-123.57162
1/2/2020,1,Marina Baotic,"Marina Baotić ,Don Petra Špike 2a,21218 Seget Donji,Croatia",Seget Donji,Trogir,Croatia,43.5161,16.232578
4/12/2019,1,Marina Mandalina,"Ul. Milice i Turka 53, 22000, Šibenik, Croatia",Šibenik,Dalmatian region,Croatia,43.719861,15.900898
15/11/2019,1,ACI Marina Dubrovnik,"Na skali 2, 20236 Mokošica-Komolac",Dubrovnik,Dubrovnik,Croatia,42.670317,18.126875
9/3/2021,1,Vedbk Havn,"Frydenlundsvej 30, 2950 Vedbk",Vedbk,Rudersdal Municipality,Denmark,55.8500371,12.5707942
28/6/2020,1,Innerhamnen Helsing�r,Nordhavnsvej 13 3000 Helsingr Denmark,Helsingr,Hovedstaden,Denmark,56.037376,12.623468
16/11/2018,1,CC Desing AS,cc-desing-as,,,Denmark,56.163205,10.229244
18/6/2020,1,Dubai Airport,dubai-airport,,,Dubai,25.285836,55.309152
29/10/2018,1,The Marina Office Ocean Village,"The Yacht Club, 1 Channel Way, Ocean Village, Southampton, Hampshire",South Hampton,South Hampton,England,36.148258,-5.353415
12/7/1905,1,Tallinn,"Port of Tallinn, Sadama 25, 15051 Tallinn, Estonia",Tallinn,Harju County,Estonia,59.442441,24.757724
4/10/2018,1,Kokomo Private Island,Yaukuve Levu Island Kokomo Private Resort,Suva,Rewa Province,Fiji,-18.804858,178.530159
,1,Turku Guest Harbour,"L�ntinen Rantakatu 57, 20100 Turku, Finland",,Turku,Finland,60.440233,22.245421
,1,Wartsila,"Hiililaiturinkuja, 00180 Helsinki, Finland",Hiililaiturinkuja,Helsinki,Finland,60.16668,24.90143
29/3/2020,1,Marseille Societe Nautique,"Marseille, France",Marseille,Provence-Alpes-C�te d'Azur,France,43.293081,5.36872
21/6/2018,1,Port De Plaisance Et De Peche Ajaccio Tino Rossi,"Port Tino Rossi, 20000 Ajaccio, France",Ajaccio,Corsica,France,41.918348,8.742957
7/6/2018,1,Fayolle Marine,"64 Quai de la Seine, 75019 Paris, France",Quai de la Seine,Paris,France,48.847717,2.366897
30/5/2018,1,Port Leucate,"600 Quai du Pla de l'Entr�e, 11370 Leucate, France","Leucate,",Occitanie,France,42.864174,3.040813
30/5/2018,1,Regie De Port Du Lavandou,"Quai d'Honneur, 83980 Le Lavandou, France",Le Lavandou,Provence-Alpes-C�te d'Azur,France,43.137002,6.374753
22/5/2018,1,SMPD - Plaisance," Dieppe, France", Dieppe,Normandy,France,49.926654,1.081291
4/5/2018,1,Port Charles Ornano,"Ajaccio, Corsica, France",Ajaccio,Corsica,France,41.932973,8.744689
4/5/2018,1,Port St Florent,Golfe de Saint-Florent,Saint-Florent,,France,42.681799,9.299697
4/5/2018,1,Port De Bastia,"Rue de la Marine, 20200 Bastia, France",Bastia,Corsica,France,42.702257,9.453895
3/5/2018,1,Logistique Dunkerque,"59279 Loon-Plage, France",Loon-Plage,Hauts-de-France,France,51.016513,2.178079
27/4/2018,1,Port De Plaisance De Fecamp,"F�camp, France",F�camp,Normandy,France,49.763255,0.362481
29/3/2018,1,Yachting Club Pointe Rouge Marseille,"Port de la Pointe Rouge, 13008 Marseille, France",Marseille,Provence-Alpes-C�te d'Azur,France,43.243077,5.367137
29/3/2018,1,Golfe Juan,"Vallauris, France",Vallauris,Provence-Alpes-C�te d'Azur,France,43.565358,7.077573
27/3/2018,1,La Ciotat,"La Ciotat, France",La Ciotat,Provence-Alpes-C�te d'Azur,France,43.176378,5.613017
9/3/2018,1,Port De La Grande Motte,"1 171 Rue du Casino, 34280 La Grande-Motte, France",La Grande-Motte,Occitanie,France,43.556426,4.081563
9/3/2018,2,Port De La Grande Motte,"2 171 Rue du Casino, 34280 La Grande-Motte, France",La Grande-Motte,Occitanie,France,43.556426,4.081563
9/3/2018,3,Port De La Grande Motte,"3 171 Rue du Casino, 34280 La Grande-Motte, France",La Grande-Motte,Occitanie,France,43.556426,4.081563
9/3/2018,4,Port De La Grande Motte,"4 171 Rue du Casino, 34280 La Grande-Motte, France",La Grande-Motte,Occitanie,France,43.556426,4.081563
,1,Marines de Cogolin,"R�gie du Port des Marines de Cogolin 36 esplanade de la capitainerie, 83310 Cogolin, France",Cogolin,Cogolin,France,43.265095,6.587709
,1,Poralu Marine,poralu-marine,,,France,46.166838,5.564099
,1,Dunkerque Marina,"Quai de Goole, 59140 Dunkerque, France",Quai de Goole,Dunkerque,France,51.034321,2.368076
25/7/2018,1,Nautic Company,"Plan-les-Ouates, Switzerland",Plan-les-Ouates,,Geneva,46.16081,6.107209
3/3/2021,1,Bremerhaven,B�ckingstrasse,Bremerhaven,Freie Hansestadt Bremen,Germany,53.56845,8.561081
15/3/2020,1,Emden Port,"Hindenburgstra�e 26 - 30, 26122 Oldenburg, Germany",Emden,Lower Saxony,Germany,53.351342,7.217798
3/3/2020,1,Wilhelmshaven Harbour,"Wilhelmshaven, Lower Saxony, Germany",Wilhelmshaven,Lower Saxony,Germany,53.519383,8.151294
6/6/2018,1,Point Of Sailing,"Kiel, Germany",Kiel,Schleswig-Holstein Land,Germany,54.396381,10.190728
1/2/2020,1,Flisvos Marina,"Flisvos Marina, Athina 175 61, Greece",Athina,Attica,Greece,37.93041,23.68516
24/1/2020,1,Paros Port Authorities,"Paros 8400, Greece",Paros,Shirak Province,Greece,37.087,25.149611
24/1/2020,1,Syros Port Authorities,"Akti Papagoi, Ermoupoli 841 00, Greece",Ermoupoli,Cyclades,Greece,37.441277,24.941344
24/1/2020,1,Chios Port Authorities,"Kokkali 7, Chios 821 00, Greece",Chios,North Aegean,Greece,38.366003,26.14244
30/3/2018,1,Athenes,"Proteos 37, Peristeri 121 37, Greece",Peristeri,Attica,Greece,38.025473,23.678887
,1,Moschato,"Saronic Gulf, Greece",,,Greece,37.940974,23.673785
,1,Kavala Port Authorities,"Averof 460, Kavala 653 02, Greece",Kavala,East Macedonia and Thrace,Greece,40.936014,24.409617
,1,Hebe Haven Yacht Club,"10.5 Miles, Hiram's Highway, Pak Sha Wan, Sai Kung, Hong Kong",Sai Kung,Hongkong,Hong Kong,22.3666639,114.2666667
12/9/2018,1,Gold Coast Yacht And Country Club,"1 Castle Peak Rd - Castle Peak Bay, So Kwun Wat, Hong Kong",Castle Peak,So Kwun Wat,Hong Kong,22.367086,113.994321
,1,Aberdeen Marina Club,"Sham Wan, Hong Kong",Castle Peak,So Kwun Wat,Hong Kong,22.244616,114.164472
22/2/2021,1,Batavia Marina Sunda Kelapa,"1 Komplek Pelabuhan, Jl. Raya Baruna Jl. Sunda Klp. No.9, RT.11/RW.8",Ancol,Jakarta,Indonesia,-6.119909,106.812653
22/2/2021,2,Batavia Marina Sunda Kelapa,"2 Komplek Pelabuhan, Jl. Raya Baruna Jl. Sunda Klp. No.9, RT.11/RW.8",Ancol,Jakarta,Indonesia,-6.119862,106.812922
4/12/2018,1,Tehran Imam Khomeini Airport,"Caspian Sea, Abbasabad, Mazandaran Province, Iran",Abbasabad,Mazandaran Province,Iran,36.806131,51.18303
1/7/2020,1,Howth Yacht Club,"1 Middle Pier, Howth Harbour, Howth, Co. Dublin, D13 E6V3, Ireland",Howth,Fingal,Ireland,53.389279,-6.064791
